Video_Link,Title,Published_At,Thumbnail_URL,Description,,
https://youtu.be/-5KI_w2kfYA,22 12 22 Game6 Pioneer,12/23/2022,https://i.ytimg.com/vi/-5KI_w2kfYA/hqdefault.jpg,"Lincoln lost to Pioneer 45-32, in a kind of ugly game, but the score was surprisingly close most of the game, despite Lincoln committing a horrendous number of turnovers (over 35) and missing 9 of 11 Free Throws.  On the plus side, Lincoln shot 70% from the field and were not ""blown out"" by a veteran ""A"" team.   Strong defense and good offense (when we didn't turn the ball over), are things we can build on.  Danielle had 20 points on 10 out of 12 shooting.",,
https://youtu.be/BI1Ezh6xzCo,23 01 06 Game7 Overfelt Danielle,1/7/2023,https://i.ytimg.com/vi/BI1Ezh6xzCo/hqdefault.jpg,"Lincoln took down Overfelt 53-19.  The teams were pretty evenly matched last year when they split 2 games....totally different story this year.  We even won handily without one of our starters...a big improvement by us.  Lincoln needed a confidence builder heading into league action next week.  Danielle scored 16 points on 8-10 shooting, had 6 steals and 3 assists.  (We won the league last year by beating Overfelt...that's what 2022 indicates...so I guess that's why they took out the banner.  It'll get raised to the rafters soon.)",,
https://youtu.be/-YJ1Ri6vNHI,23 01 06 Game7 Overfelt Natalie,1/8/2023,https://i.ytimg.com/vi/-YJ1Ri6vNHI/hqdefault.jpg,"Natalie scored her first points of the season against Overfelt, going 2 for 2!   Also included a couple rebounds.",,
https://youtu.be/2KVediSoVtw,23 01 12 Leland Marina fouls,1/16/2023,https://i.ytimg.com/vi/2KVediSoVtw/hqdefault.jpg,"5 fouls called on Marina vrs Leland.  1 good foul call, 1 botched call on a clean shot block, 2 extremely ticky-tack rebounding fouls and an illegal screen called where the ref had the opportunity to do a make-up call for the one he missed.",,
https://youtu.be/6p3RdhIyhQ8,23 01 12 Leland Elyssa Highlights,1/16/2023,https://i.ytimg.com/vi/6p3RdhIyhQ8/hqdefault.jpg,Elyssa goes for 14 tough points against Leland!,,
https://youtu.be/khWXVnjXWv8,23 01 17 Game9 Prospect Danielle,1/18/2023,https://i.ytimg.com/vi/khWXVnjXWv8/hqdefault.jpg,"Lincoln wins 1st league game on the road against Prospect, in a nail-biter, 39-35. The team played their best game of the season (by far) and seems to be ready for league play.  Danielle scores 16 points.",,
https://youtu.be/f61LxK9z9wk,23 01 19 Game10 Willow Glen Danielle,1/21/2023,https://i.ytimg.com/vi/f61LxK9z9wk/hqdefault.jpg,"Lincoln loses in Overtime to Willow Glen 42-39, after leading by 8 points with 7 minutes left. WG scores 5 points in last 15 seconds, including desperation bank shot with .2 on clock to force OT.  Danielle scores 14.  Lincoln played ""good enough to win"", but needed to be better to overcome the ref's.  Lots of WG fouls did not get called all game, but specifically on two short shots by Danielle near the end of the game where the ""big"" #45 hammers her.  Any of the four free throws would have been enough for Lincoln to secure the win.  #45 didn't get called for a foul all game, yet in these highlights can be seen committing 6 or 7 fouls, depending how ""tight"" you want to call the game...the ref's decided NOT to call the game.",,
https://youtu.be/NuoFeL0wbbI,Del Mar Non Calls Danielle,1/23/2023,https://i.ytimg.com/vi/NuoFeL0wbbI/hqdefault.jpg,Sample of 4 shooting fouls against Danielle...all not called.  Bonus action with Del Mar #33 rebounding Danielle's arm and pulling her to the ground for a successful jump ball call.,,
https://youtu.be/s7s20cLwQPM,Leigh ankle sprain,1/25/2023,https://i.ytimg.com/vi/s7s20cLwQPM/hqdefault.jpg,"Danielle got hurt 12 seconds into the game as a klutzy, reckless player sweeps her landing foot out from under her as she is coming down with a rebound.  The klutz first swipes at ball as Danielle rebounds it...no problem.   But in doing so, she sweeps Danielle's landing leg out in an extremely reckless move.  No remorse...just keep on playing.  Thank you Leigh #34.   The ref call Danielle for traveling, which as it turns out, was about as accurate as most of the calls/non-calls for the night.  Lincoln almost got robbed by refs again, but hung on to win by 1.",,
https://youtu.be/5wSmv-dIRFk,23 02 04 Game17 Mt Pleasant Elyssa,2/7/2023,https://i.ytimg.com/vi/5wSmv-dIRFk/hqdefault.jpg,"Another good game for Elyssa, with 11 points (including a ""3""), a couple steals (on video), an assist and a block.  (Perhaps the last 2 points shouldn't have counted because there should have been a 30-second clock reset and Elyssa scored at 32 seconds.  No matter, it's in the books.)",,
https://youtu.be/Sdd6B9cW21w,23 02 04 Game17 Mt Pleasant Natalie,2/7/2023,https://i.ytimg.com/vi/Sdd6B9cW21w/hqdefault.jpg,Natalie gets a career high 12 points!,,
https://youtu.be/z4hS6zOtmRc,23 02 09 Game19 Leigh Elyssa,2/11/2023,https://i.ytimg.com/vi/z4hS6zOtmRc/hqdefault.jpg,"Elyssa closes out her Lincoln High career with another typical game, scoring 4 points on some nice moves in 'traffic', creating havoc on the boards as she chases down rebounds and keeps plays alive, and playing great defense.  Elyssa typically absorbs a lot of foul non-calls on her shots and rebounds. At the end of the clip is a ""not too unfamiliar"" site of a player ripping Elyssa's arms trying to get at the ball...this sort of thing was a season-long frustration as it occurred very regularly and was almost never called out by the refs.",,
https://youtu.be/_eA5X0JT0jc,23 06 08 TopFlight Danielle 14pts,6/11/2023,https://i.ytimg.com/vi/_eA5X0JT0jc/hqdefault.jpg,"Summer League Game 2 versus Top Flight AAU club.  This team is based on Valley Christian High School JV, plus others they picked up.  They have obviously been practicing. Lincoln hasn't been able to practice yet.  Danielle scores 14 points, but Lincoln was down 20-30 points most of the game.  They lost by 15 points.  Ref's continue to call ticky-tack fouls against Lincoln, while rarely calling shooting fouls against their opponent.",,
https://youtu.be/MHCxACHMGsE,23 06 06 Leland Danielle 22pts,6/11/2023,https://i.ytimg.com/vi/MHCxACHMGsE/hqdefault.jpg,"Summer League 2023 at Del Mar High School.  The Lincoln team is very inexperienced with a bunch of JV players not quite ready for Varsity minutes...but they still have to play.  Lincoln got blown out by 20 against Leland.  Danielle scored 22 points.  The starters were about even with Leland starters, but the Lincoln bench got blown out.",,
https://youtu.be/Ib0xqdm00mM,23 06 13 Del Mar Allstars Danielle 17pts,6/14/2023,https://i.ytimg.com/vi/Ib0xqdm00mM/hqdefault.jpg,Very strange that Del Mar chose to recruit two starters from other teams to play...kind of shady...but they got the win over Lincoln because of it.  Danielle scored 17 points...many good assists from Aislin.,,
https://youtu.be/cmEcDrUgecE,vrs Leland team highlights,6/15/2023,https://i.ytimg.com/vi/cmEcDrUgecE/hqdefault.jpg,Summer League Game 1 versus Leland...team highlights w/o Danielle.,,
https://youtu.be/EXztuH_5etI,vrs Del Mar Allstars Team highlights,6/15/2023,https://i.ytimg.com/vi/EXztuH_5etI/hqdefault.jpg,"Summer League Game 3 highlights against Del Mar (and a couple of starters from Willow Glen and Prospect).  It's a bit strange the Del Mar coach would play other school's players rather than trying to develop their own players, but maybe they are getting 2 in-district transfers next year?",,
https://youtu.be/M1O8Wahgtas,vrs TopFlight Team highlights,6/15/2023,https://i.ytimg.com/vi/M1O8Wahgtas/hqdefault.jpg,Summer League Game 2 highlights vrs Top Flite.,,
https://youtu.be/FEh2oCHZG-8,23 06 15 Branham Danielle Highlights,6/16/2023,https://i.ytimg.com/vi/FEh2oCHZG-8/hqdefault.jpg,"Lincoln got beaten soundly by Branham.  Danielle finally got to play against somebody taller...Branham had very ""long"" 6'4"" girl, than another 6' girl and they played very effectively.  Branham is an ""A"" league team returning most of their players, so they also had strong guard play.  At the moment, Lincoln is more like a bad ""B"" league team.   Danielle could only manage 6 points.",,
https://youtu.be/te7zSiPJleQ,Ugly Branham Turnovers,6/16/2023,https://i.ytimg.com/vi/te7zSiPJleQ/hqdefault.jpg,"Very bad passing, dribbling and catching by Lincoln as they got throttled by a much better Branham team.",,
https://youtu.be/B_1Y7YGjros,23 06 20 Lynbrook Danielle Highlights,6/22/2023,https://i.ytimg.com/vi/B_1Y7YGjros/hqdefault.jpg,"We got beat by Lynbrook, mainly because we only had 3 Varsity players.  Our JV players (some of whom will play Varsity) do not know how to play yet.  Danielle scored 16, but probably would've gotten a  lot more if we had players that could execute plays on the floor.",,
https://youtu.be/japH68l4ZHM,23 06 20 Lincoln Team Highlights vrs Lynbrook,6/22/2023,https://i.ytimg.com/vi/japH68l4ZHM/hqdefault.jpg,"Lincoln team highlights vrs Lynbrook, w/o Danielle.",,
https://youtu.be/gAJW1wgNM3Y,23 11 29 Lincoln's first game of the season against a very good Harker Team.,12/1/2023,https://i.ytimg.com/vi/gAJW1wgNM3Y/hqdefault.jpg,"Although Harker soundly beat Lincoln throughout the game, compared to previous years, this game was competitive.  Harker won 47-36, but led by 15 most of the game.  Previous losses have been by +30 points.  Lincoln is definitely better this season and has a lot of room for improvement.",,
https://youtu.be/jejF85dwaJ0,23 11 29 First game of the year comes against a very good Harker team.,12/1/2023,https://i.ytimg.com/vi/jejF85dwaJ0/hqdefault.jpg,"Harker beat Lincoln soundly as expected, but the score was surprisingly close at 46-35 at the end.  (The previous 2 years were +30 point blowouts.)  Sounds strange to say, but Danielle scored 17 points in an ""off game"".   She missed half her free throws and 4-5 shots she really should make, but also played great in stretches.  She had 3-4 assists, 4-5 blocks, 4-5 steals, so she was still a force.",,
https://youtu.be/a_lbnoDGBlU,3 other bad 4Q calls,12/3/2023,https://i.ytimg.com/vi/a_lbnoDGBlU/hqdefault.jpg,"In addition to 2 mysterious foul calls on Danielle in the 4th, here are 3 more BS foul calls that gave points to Saratoga and took away a possession from Lincoln.
- 1st call is a clean block, where #2 gets bailed out with foul call…#2 gets to convert 2 free throws.
- 2nd is incidental contact where #2 flops to the group with barely any contact…ball bounces off Saratoga out of bounds, but fake foul call gives possession to Saratoga
- 3rd isn’t even close to a foul, yet #2 flopper sells it again and gets two more points of free throws",,
https://youtu.be/YlYR5IRPsQY,Danielle 5 fouls vrs Saratoga,12/3/2023,https://i.ytimg.com/vi/YlYR5IRPsQY/hqdefault.jpg,"Somehow Danielle's ""hyper-aggressive"" play translated into 5 fouls.  Maybe 1 call was legit...the 2nd foul.  She rarely benefits from this sort of ""soft' foul call but occasionally one does crop up.  4th foul was all ball and the 5th foul was bailing out a dribbler that created a turnover.  The last 2 in the 4th quarter put her out of the game.",,
https://youtu.be/Et7fia5IdPw,24 01 09 Oak Grove Highlights Danielle,1/11/2024,https://i.ytimg.com/vi/Et7fia5IdPw/hqdefault.jpg,"3rd game of the League Season, 1st game with our regular starters and our 2nd win.  Danielle had a good game with 23 points, scoring 6 of the last 7 points to secure the win...icing the game with 2 free throws with 10 seconds left to give us the 4-point lead!  She was 10-12 from the field, with 3-4 free throws.",,
https://youtu.be/DGxc7A6Kfz4,24 01 18 Leigh Highlights Danielle,1/23/2024,https://i.ytimg.com/vi/DGxc7A6Kfz4/hqdefault.jpg,"Lincoln beats Leigh 40-29.  Danielle scores 18 points and has 4 blocks, but two blocks are called fouls.",,
https://youtu.be/a8eB8zRXsNY,Danielle Highlights CCS Round 2 Leland,3/2/2024,https://i.ytimg.com/vi/a8eB8zRXsNY/hqdefault.jpg,"The season ended with a 60-47 playoff loss to Leland.  Danielle scored 24 points (and had 2 taken away by a ref)...also had 4 assists in her final game with Lincoln.  She was 12-17 from the field.  She was fouled numerous times, but somehow only got a single free throw.  Same old story of High School basketball...if you are bigger and stronger, opposing players have a right to foul you and ref's let it go.  (But it doesn't work the other way around.)",,
https://youtu.be/aPZNs7GkQ70,Natalie Season Highlights 23-24,3/5/2024,https://i.ytimg.com/vi/aPZNs7GkQ70/hqdefault.jpg,A compilation of highlights for Natalie's 2023-24 basketball season with the Lincoln Lions.  Way to go Natalie!  We are very proud of you!,,
